dependency_id,source,required_for,what_is_missing,likely_owner,resolution_required,blocks,evidence_reference
DB-001,MongoDB Atlas,Canonical AIAIC persistence,"Production connection ownership, credentials, approved collections and schema boundary",Database/Product operations,"Confirm write authority, collection contract, retention and backup policy",Any AIAIC persistence implementation,handover/05_DATABASE_GUIDE.md
APP-001,Python and Node backends,Reading existing product data and capabilities,Authoritative production endpoint and deployment target,Product/Rudra and Alay,"Confirm service URL, auth contract and active writer per collection",Any live product integration,handover/04_DEPLOYMENT_GUIDE.md
N-001,workflow-blackhole / Niyantran,Workflow execution and status context,"Approved production URL, auth, contract and environment configuration",Workflow owner/Rudra,Confirm endpoint and permission; remove localhost ambiguity,Workflow-backed AIAIC capability,handover/09_DEPENDENCY_MAP.md
S-001,Sampada SETU gateway,Potential signal exchange,"Actual endpoint, schema version, credentials and legal permission",Sampada owner/Ashmit,Provide contract and approved integration method,Any Sampada integration,handover/09_DEPENDENCY_MAP.md
B-001,Bucket,Verification or lineage evidence,"External URL, credentials and response contract",Bucket owner/Nupur,Confirm adapter contract and data-use permission,Bucket-backed evidence,handover/09_DEPENDENCY_MAP.md
T-001,Tally via Artha,Accounting source inputs,"Upstream ownership, API/event contract, tenant permission and safe payload policy",Artha/Tally owner and Raj,Confirm whether AIAIC consumes Artha output or references it only; provide approved sample,Any Tally capability,
G-001,Google Maps API,Geospatial enrichment,"Production API key, quotas, permitted use and rate limits",Integration/Deployment owner,Confirm key via secure channel and retention policy,Map-dependent capability,handover/11_CREDENTIALS_CONFIGURATION_REGISTER.md
O-001,Office 365 APIs,Office workflow features,"Tenant consent, application registration and scopes",Microsoft tenant administrator,Confirm OAuth flow and permitted data fields,Office-dependent capability,handover/11_CREDENTIALS_CONFIGURATION_REGISTER.md
L-001,LLM provider,AI query features,"Provider, model, API key, data policy and latency limits",AI/Product owner,Approve provider and redaction policy before sending data,LLM-dependent capability,handover/09_DEPENDENCY_MAP.md
GOV-001,Government land/crop/water systems,Geospatial and agricultural intelligence,"Concrete source list, authority, API/download method and permission",Shivam/Sakshi,Name source and obtain documented access,All related capability work,
GOV-002,State agriculture and farmer registries,Farmer-income and state workflows,"State, source owner, schema, legal basis and replacement strategy",Aryan/Kaushlendra/Sakshi,Define state adapter contract and approved access,State-specific capability work,
PERM-001,Public portals and policy documents,Research and source discovery,Permission and acceptable-use decision,Governance/GC,Record whether reference-only use is allowed,Any attempt to consume portal data,
MDU-001,SETU/MDU provenance boundary,Traceable canonical inputs,Canonical field contract and evidence rules,Nupur/MDU,"Approve envelope, retention and source identity semantics",Any source-derived canonical record,
