source_id,source_system,data_service,owner,scope,primary_classification,tags,aiaic_use,access_status,integration_status,authority_boundary,evidence_status,dependency,update_characteristics
SRC-001,MongoDB Atlas,Shared application and SETU persistence,Product operations and database owner,Common infrastructure,COMMON_REUSABLE,"DO_NOT_DUPLICATE",Reference or consume only through approved canonical boundary,Possible but unverified,Code-level database adapters exist; production reachability not verified,AIAIC does not become database authority,code-verified-not-live,DB-001,Operational database writes and reads; cadence not evidenced
SRC-002,Python FastAPI backend,CRM logistics and SETU APIs,Product team,Common application service,COMMON_REUSABLE,"",Potential consumer through approved API boundary,Possible but unverified,Runtime routes exist; deployment readiness has known gaps,Existing service remains service owner,code-verified-not-live,APP-001,Request-driven
SRC-003,Node Express backend,CRM and logistics APIs,Product team,Common application service,COMMON_REUSABLE,"",Potential consumer through approved API boundary,Possible but unverified,Frontend-facing routes are mounted; production access not verified,Existing service remains service owner,code-verified-not-live,APP-001,Request-driven
SRC-004,SETU lineage and signal store,Lineage telemetry and source-context records,SETU/MDU authority,Common platform capability,DO_NOT_DUPLICATE,"COMMON_REUSABLE",Consume provenance outputs; do not recreate lineage,Possible but unverified,SETU persistence and ingestion modules exist locally,SETU/MDU owns semantic and provenance authority,code-verified-not-live,MDU-001,Event/request-driven
SRC-005,workflow-blackhole / Niyantran,Workflow and execution services,Workflow-blackhole owner,Common ecosystem dependency,ACCESS_UNVERIFIED,"DO_NOT_DUPLICATE",Integrate only through approved contract and runtime endpoint,Possible but unverified,Direct frontend and SETU adapter paths are present; deployment status not proven,Workflow system remains authoritative for its workflows,code-and-config-verified-not-live,N-001,Request-driven; schedule not evidenced
SRC-006,Sampada SETU gateway,Compatible SETU signal gateway,Separate Sampada owner,Common ecosystem dependency,ACCESS_UNVERIFIED,"COMMON_REUSABLE",Integrate only if contract and permission are confirmed,Unknown,Contract compatibility stated; no direct call found,Do not duplicate Sampada gateway,contract-referenced-not-live,S-001,Event behavior not evidenced
SRC-007,Bucket,Verification or lineage-related service,Bucket owner,Common ecosystem dependency,ACCESS_UNVERIFIED,"DO_NOT_DUPLICATE",Reference or integrate verification results,Unknown,SETU adapter endpoints exist; external URL and credentials not traced, Bucket remains authority for its verification records,code-verified-not-live,B-001,Request-driven; cadence not evidenced
SRC-008,Tally via upstream Artha path,Accounting records and company/store context,Artha/Tally owner,External source system,ACCESS_UNVERIFIED,"STATE_ADAPTER",Consume permitted records only after upstream contract and access confirmation,Unknown,Provenance fields and Tally references exist in product history; live upstream path not verified,Accounting system remains source authority,static-reference-only,T-001,Sync cadence not evidenced
SRC-009,Google Maps API,Geocoding or map services,Google Maps,External SaaS/API,ACCESS_UNVERIFIED,"COMMON_REUSABLE",Optional geospatial enrichment through an adapter,Possible but unverified,Python integration code exists and degrades without key,Google remains authority for map service data,code-verified-not-live,G-001,Request-driven
SRC-010,Office 365 APIs,Email/calendar or office workflow data,Microsoft/tenant administrator,External SaaS/API,ACCESS_UNVERIFIED,"COMMON_REUSABLE",Integrate only for approved workflow features,Possible but unverified,Integration configuration is documented; live authorization not verified,Microsoft and tenant remain authorities,config-and-code-verified-not-live,O-001,Request/event behavior not evidenced
SRC-011,LLM provider,AI query or language-model service,Selected provider and account owner,External SaaS/API,ACCESS_UNVERIFIED,"COMMON_REUSABLE",Consume bounded outputs with provenance and policy controls,Possible but unverified,LLM integrations are referenced in both backends; live provider not verified,Provider output is not source-of-truth business data,code-verified-not-live,L-001,Request-driven
SRC-012,Government land/crop/water systems,Public-sector agricultural and geospatial data,Relevant government authority,Potential national or state source,KNOWN_UNKNOWN,"STATE_ADAPTER","Reference or consume only after source, permission, and schema validation",Unknown,No concrete system or access evidence in this repository,Government system remains authoritative,not-reviewed,GOV-001,Update cadence unknown
SRC-013,State agriculture and farmer registries,"Farmer, crop, scheme, or income-related records",Relevant state authority,Potential state-specific source,KNOWN_UNKNOWN,"STATE_ADAPTER",Use via replaceable state adapter if approved,Unknown,No state source contract or access evidence in this repository,State authority remains authoritative,not-reviewed,GOV-002,Update cadence unknown
SRC-014,Public portals and policy documents,Public descriptions and published evidence,Publishing authority,Reference material,DO_NOT_DUPLICATE,"",Reference as evidence only; never infer access from publication,Publicly viewable does not establish permission,No integration route evidenced,Publication authority remains owner,not-reviewed,PERM-001,Publication cadence varies
